"crawl","nutch_fetched_pct","nutch_unfetched_pct","nutch_gone_pct","nutch_redirTemp_pct","nutch_redirPerm_pct","nutch_notModified_pct"
"CC-MAIN-2021-49",83,3,0,0,9,6
"CC-MAIN-2022-05",0,0,0,0,100,0
"CC-MAIN-2022-21",67,7,3,0,14,9
"CC-MAIN-2022-33",39,50,2,0,6,3
"CC-MAIN-2022-40",87,3,2,0,5,3
"CC-MAIN-2022-49",0,0,0,0,100,0
"CC-MAIN-2023-06",83,10,2,0,4,2
"CC-MAIN-2023-14",88,6,2,0,3,1
"CC-MAIN-2023-23",94,2,2,0,1,2
"CC-MAIN-2023-40",58,40,1,0,1,1
"CC-MAIN-2023-50",82,4,1,0,12,1
"CC-MAIN-2024-10",74,2,1,0,22,1
"CC-MAIN-2024-18",70,3,1,0,26,0
"CC-MAIN-2024-22",66,7,1,0,26,0
"CC-MAIN-2024-26",79,3,1,0,17,0
"CC-MAIN-2024-30",56,28,0,0,15,0
"CC-MAIN-2024-33",78,2,0,0,20,0
"CC-MAIN-2024-38",77,3,0,0,20,0
"CC-MAIN-2024-42",77,2,0,0,22,0
"CC-MAIN-2024-46",81,4,0,0,14,0
"CC-MAIN-2024-51",71,16,0,0,13,0
"CC-MAIN-2025-05",84,4,0,0,12,0
"CC-MAIN-2025-08",86,2,0,0,13,0
"CC-MAIN-2025-13",87,2,0,0,11,0
