"crawl","fetch_200","fetch_200_lote","prank10","hcrank10"
"CC-MAIN-2021-49",47,0,0,4.718
"CC-MAIN-2022-05",88,0,0,4.718
"CC-MAIN-2022-21",77,0,0.001,4.86
"CC-MAIN-2022-33",180,0,0.001,4.86
"CC-MAIN-2022-40",94,0,0,4.847
"CC-MAIN-2022-49",206,0,0,4.847
"CC-MAIN-2023-06",118,0,0,4.847
"CC-MAIN-2023-14",386,0,0.001,5.003
"CC-MAIN-2023-23",212,0,0.001,5.003
"CC-MAIN-2023-40",253,0,0.001,5.003
"CC-MAIN-2023-50",66,0,0,4.773
"CC-MAIN-2024-10",137,0,0,4.954
"CC-MAIN-2024-18",78,0,0,4.879
"CC-MAIN-2024-22",107,0,0,4.872
"CC-MAIN-2024-26",101,0,0,4.982
"CC-MAIN-2024-30",218,0,0,5.085
"CC-MAIN-2024-33",128,0,0,4.928
"CC-MAIN-2024-38",144,0,0,5.101
"CC-MAIN-2024-42",141,0,0.001,5.067
"CC-MAIN-2024-46",251,0,0.001,4.974
"CC-MAIN-2024-51",262,0,0,4.83
"CC-MAIN-2025-05",191,0,0.001,4.967
"CC-MAIN-2025-08",168,0,0.001,4.973
"CC-MAIN-2025-13",162,0,0.001,4.962
