"crawl","robots_200","robots_gone","robots_redirPerm","robots_redirTemp","robots_notModified","robots_3xx","robots_4xx","robots_5xx","robots_other"
"CC-MAIN-2021-49",5,0,10,0,0,0,0,0,0
"CC-MAIN-2022-05",5,0,7,0,0,0,0,0,0
"CC-MAIN-2022-21",4,0,4,0,0,0,0,0,0
"CC-MAIN-2022-33",4,0,4,0,0,0,0,0,0
"CC-MAIN-2022-40",3,0,2,0,0,0,0,0,0
"CC-MAIN-2022-49",4,0,1,0,0,0,0,0,0
"CC-MAIN-2023-06",4,0,1,0,0,0,0,0,0
"CC-MAIN-2023-14",42,0,1,0,0,0,0,0,0
"CC-MAIN-2023-23",17,0,1,0,0,0,0,0,0
"CC-MAIN-2023-40",14,0,1,0,0,0,1,0,0
"CC-MAIN-2023-50",4,0,2,0,0,0,0,0,0
"CC-MAIN-2024-10",3,0,1,0,0,0,0,0,0
"CC-MAIN-2024-18",4,0,3,0,0,0,0,0,0
"CC-MAIN-2024-22",3,0,1,0,0,0,0,0,0
"CC-MAIN-2024-26",3,0,1,0,0,0,0,0,0
"CC-MAIN-2024-30",4,0,4,0,0,0,0,0,0
"CC-MAIN-2024-33",3,0,18,0,0,0,0,0,0
"CC-MAIN-2024-38",4,0,21,0,0,0,2,0,0
"CC-MAIN-2024-42",3,0,23,0,0,0,1,0,0
"CC-MAIN-2024-46",4,0,36,0,0,0,3,0,0
"CC-MAIN-2024-51",4,0,12,0,0,0,2,0,0
"CC-MAIN-2025-05",2,0,18,0,0,0,1,0,0
"CC-MAIN-2025-08",3,0,10,0,0,0,2,0,0
"CC-MAIN-2025-13",2,0,22,0,0,0,3,0,0
